account_id,age,gender,gmv_total,days_since_registration,max_credit_card_limit,tot_subsidio_utilizado,qt_offer_completed,qt_offer_received,qt_offer_viewed,qt_transaction,channels_frequency_conversao,channel_web_frequency_conversao,channel_email_frequency_conversao,channel_mobile_frequency_conversao,channel_social_frequency_conversao,bogo_conversao,discount_conversao,informational_conversao,avg_discount_value_conversao,avg_duration_conversao,avg_min_value_conversao,reward_conversao,amount_conversao,qt_transacional_conversao,min_time_conversao,max_time_conversao
03833a1fe27f4435917da7e54c6fa48a,118,null,2.38,2848,null,null,null,4,4,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
dd69125d21a54693840469a1ad6ca243,66,M,15.99,3005,32000,3,1,3,3,6,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":1},{""channel"":""mobile"",""frequency"":1},{""channel"":""social"",""frequency"":1}]",1,1,1,1,0,1,0,3,7,7,3,4.2,1,4,4
3d55f046a320408db9a88be59acc19cc,118,null,24.46,3431,null,2,1,6,4,12,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":1},{""channel"":""mobile"",""frequency"":1},{""channel"":""social"",""frequency"":1}]",1,1,1,1,0,1,0,2,10,10,2,2.59,1,25,25
752045b74388467d99a44eac9501116e,43,F,14.229999999999999,3044,42000,null,null,5,2,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
b66cb315b9944a749e25aee0d7dfe13c,87,M,84.94999999999999,2902,33000,7,3,6,5,9,"[{""channel"":""web"",""frequency"":3},{""channel"":""email"",""frequency"":3},{""channel"":""mobile"",""frequency"":3},{""channel"":""social"",""frequency"":2}]",3,3,3,2,0,3,0,2.3333333333333335,8,9,7,24.36,3,17.25,28.75
04e5255c9e754c66b83c06ec70f62203,93,M,93.56,3048,35000,21,6,6,6,11,"[{""channel"":""web"",""frequency"":6},{""channel"":""email"",""frequency"":6},{""channel"":""mobile"",""frequency"":5},{""channel"":""social"",""frequency"":4}]",6,6,5,4,2,4,0,3.5,7.833333333333333,10,21,47.59,6,5.25,25
614ec3d641654c2d9d5c2a15e329c774,67,F,239.51000000000002,3216,96000,23,5,5,5,9,"[{""channel"":""web"",""frequency"":4},{""channel"":""email"",""frequency"":5},{""channel"":""mobile"",""frequency"":5},{""channel"":""social"",""frequency"":3}]",4,5,5,3,2,3,0,4.6,7,7.8,23,130.59,5,2,21
6924192984cf4a17ac5e5b1a937af4b2,32,M,137.46,2807,53000,2,1,4,4,7,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":1},{""channel"":""mobile"",""frequency"":1},{""channel"":""social"",""frequency"":1}]",1,1,1,1,0,1,0,2,10,10,2,2.27,1,9.5,9.5
b4d5401786f444169c723533ed475760,23,F,22.39,2795,43000,5,1,6,3,9,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":1},{""channel"":""mobile"",""frequency"":1},{""channel"":""social"",""frequency"":1}]",1,1,1,1,1,0,0,5,5,5,5,6.98,1,26,26
b797b614e6514d55af41629b9d3f2ba2,71,F,130.65,3474,34000,9,3,5,4,17,"[{""channel"":""web"",""frequency"":3},{""channel"":""email"",""frequency"":3},{""channel"":""mobile"",""frequency"":2},{""channel"":""social"",""frequency"":1}]",3,3,2,1,0,3,0,3,9,13.333333333333334,9,27.25,3,2.25,27
c495a28d83cf4bddacdd6f43901f0c8e,60,F,109.37,3336,82000,10,3,4,2,6,"[{""channel"":""web"",""frequency"":3},{""channel"":""email"",""frequency"":3},{""channel"":""mobile"",""frequency"":2},{""channel"":""social"",""frequency"":2}]",3,3,2,2,0,3,0,3.3333333333333335,9,12.333333333333334,10,37.56,3,2.75,22
2c65ec7f25ba4e03b32e5c3041d1ec27,47,F,201.2,3385,68000,12,3,4,4,12,"[{""channel"":""web"",""frequency"":3},{""channel"":""email"",""frequency"":3},{""channel"":""mobile"",""frequency"":2},{""channel"":""social"",""frequency"":2}]",3,3,2,2,1,2,0,4,8.333333333333334,11.666666666666666,12,55.65,3,0.5,28.75
cf0046280ce841b682080a46a50de08f,24,F,17.64,2856,50000,3,1,5,3,8,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":1},{""channel"":""mobile"",""frequency"":1},{""channel"":""social"",""frequency"":1}]",1,1,1,1,0,1,0,3,7,7,3,0.54,1,25.75,25.75
f66a9335025741b3b18a961dfdb2f28e,61,M,95.55000000000001,3004,74000,15,3,5,5,4,"[{""channel"":""web"",""frequency"":2},{""channel"":""email"",""frequency"":3},{""channel"":""mobile"",""frequency"":3},{""channel"":""social"",""frequency"":2}]",2,3,3,2,1,2,0,5,7,9,15,54.650000000000006,3,20.75,26.75
1ea7547159ae462192c3576d258c2bb7,43,M,149.13,3057,69000,8,2,4,4,9,"[{""channel"":""web"",""frequency"":2},{""channel"":""email"",""frequency"":2},{""channel"":""mobile"",""frequency"":2},{""channel"":""social"",""frequency"":2}]",2,2,2,2,1,1,0,4,6,6,8,35.86,2,17.5,21
3a9a6ee0506c49dcbad7ce26a99cb90d,61,M,23.47,2823,34000,null,null,5,3,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12b94bd1574647a8a7ffcb4ddbf3f044,67,F,275.6,3725,109000,14,3,4,3,9,"[{""channel"":""web"",""frequency"":2},{""channel"":""email"",""frequency"":3},{""channel"":""mobile"",""frequency"":3},{""channel"":""social"",""frequency"":2}]",2,3,3,2,1,2,0,4.666666666666667,8,10,14,85.95,3,17.25,26.5
48a3787358ed4cc6978d805dbcbcf46b,45,M,138.32999999999998,3467,53000,9,3,4,4,11,"[{""channel"":""web"",""frequency"":3},{""channel"":""email"",""frequency"":3},{""channel"":""mobile"",""frequency"":3},{""channel"":""social"",""frequency"":1}]",3,3,3,1,1,2,0,3,8,8.333333333333334,9,37.58,3,2.25,19.5
a18478f350d04f7f994ec231b2e66c62,57,M,176.82999999999998,4359,74000,10,1,4,3,11,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":1},{""channel"":""mobile"",""frequency"":1},{""channel"":""social"",""frequency"":1}]",1,1,1,1,1,0,0,10,5,10,10,27.88,1,1.25,1.25
14aec0282fa74553920a36eecf20a478,55,M,95.03,3077,58000,7,2,4,4,6,"[{""channel"":""web"",""frequency"":2},{""channel"":""email"",""frequency"":2},{""channel"":""mobile"",""frequency"":2},{""channel"":""social"",""frequency"":1}]",2,2,2,1,1,1,0,3.5,8.5,7.5,7,34.02,2,8.25,19.25
cff228bfca314af0b81f421c7e33cce5,57,F,73.94,3799,78000,5,1,3,1,5,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":1}]",1,1,0,0,0,1,0,5,10,20,5,27.18,1,29,29
22212a9457f544d099841ab698d2a5ef,44,F,162.03,2995,53000,20,3,5,5,14,"[{""channel"":""web"",""frequency"":2},{""channel"":""email"",""frequency"":3},{""channel"":""mobile"",""frequency"":3},{""channel"":""social"",""frequency"":2}]",2,3,3,2,3,0,0,6.666666666666667,6.333333333333333,6.666666666666667,20,35.26,3,16,26.25
2f2944599998469e969b997825137257,72,F,284.65,3456,109000,20,4,4,4,9,"[{""channel"":""web"",""frequency"":4},{""channel"":""email"",""frequency"":4},{""channel"":""mobile"",""frequency"":4},{""channel"":""social"",""frequency"":3}]",4,4,4,3,4,0,0,5,5.5,5,20,92.63000000000001,4,1,22.25
480756180f494e029edb818093e4ff1b,59,O,78.49,2954,84000,12,2,4,4,4,"[{""channel"":""web"",""frequency"":2},{""channel"":""email"",""frequency"":2},{""channel"":""mobile"",""frequency"":2},{""channel"":""social"",""frequency"":1}]",2,2,2,1,1,1,0,6,6,10,12,41.739999999999995,2,22.25,26.25
9fddb6531bea44d0919eabfd13865924,53,F,1.03,3048,46000,null,null,6,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
e16a4fd23678466287a2b1dda0545438,40,M,43.03,3050,81000,7,2,6,6,2,"[{""channel"":""web"",""frequency"":2},{""channel"":""email"",""frequency"":2},{""channel"":""mobile"",""frequency"":2},{""channel"":""social"",""frequency"":1}]",2,2,2,1,1,1,0,3.5,8.5,7.5,7,29.87,2,21,21
8f74115993464fdb90658daeef20a4d6,71,F,163.47,3271,71000,15,2,2,2,8,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":2},{""channel"":""mobile"",""frequency"":1},{""channel"":""social"",""frequency"":1}]",1,2,1,1,1,1,0,7.5,8.5,15,15,46.07,2,20.25,23.75
aec66f67b80548d29897b26f83d139de,71,M,142.77000000000004,4040,65000,null,null,4,4,10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
307245a5204947e5a9f952daffcad5f2,68,M,142.3,3596,62000,12,4,4,4,9,"[{""channel"":""web"",""frequency"":4},{""channel"":""email"",""frequency"":4},{""channel"":""mobile"",""frequency"":4},{""channel"":""social"",""frequency"":4}]",4,4,4,4,1,3,0,3,8,8,12,69.32,4,3.5,23.75
991386e4c20041428093919ed3c8f2ba,118,null,17.93,2760,null,5,1,5,4,6,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":1},{""channel"":""mobile"",""frequency"":1}]",1,1,1,0,1,0,0,5,7,5,5,9.4,1,23.25,23.25
b7a66e629b134079a9bc7120c7b9947b,44,M,150.23,3028,35000,13,4,4,4,18,"[{""channel"":""web"",""frequency"":4},{""channel"":""email"",""frequency"":4},{""channel"":""mobile"",""frequency"":4},{""channel"":""social"",""frequency"":4}]",4,4,4,4,1,3,0,3.25,7.25,7.25,13,42.91,4,1.5,24
b8d0a7b8dfcf46e6ab8a3f4f995a28a4,118,null,10.530000000000001,2761,null,5,1,5,5,5,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":1},{""channel"":""mobile"",""frequency"":1}]",1,1,1,0,1,0,0,5,7,5,5,5.94,1,29.75,29.75
153572326a8340aca794bd6ff01b24c1,80,M,18.81,2832,96000,2,1,6,6,1,"[{""channel"":""web"",""frequency"":1},{""channel"":""email"",""frequency"":1},{""channel"":""mobile"",""frequency"":1}]",1,1,1,0,0,1,0,2,7,10,2,18.81,1,5.75,5.75
8513fc703ac44ea8816648e2b378b524,59,M,190.71,3150,48000,20,2,5,3,17,"[{""channel"":""email"",""frequency"":2},{""channel"":""mobile"",""frequency"":2},{""channel"":""social"",""frequency"":2}]",0,2,2,2,2,0,0,10,7,10,20,26.42,2,3.5,7.25
